sentence1,sentence2,condition,label
"A street is clear of cars, but the parking lots of the businesses are full.",A two lane road with some cars parked on the side of the street,The name of the object.,4
Crowd of people with backpacks line up on the runway to enter the plane,"A few plans sit on the runway, while one plane is being loaded up.",The type of transport.,5
Crowd of people with backpacks line up on the runway to enter the plane,"A few plans sit on the runway, while one plane is being loaded up.",The number of planes.,1
A large giraffe getting a drink of water from a pond at a zoo.,Little girl holding out a branch for a giraffe who's stretching to get it.,The motion of the animal.,4
A large giraffe getting a drink of water from a pond at a zoo.,Little girl holding out a branch for a giraffe who's stretching to get it.,The type of animal.,3
A black cat sitting on the end of a couch next to shoe covered feet.,A fat cat laying on the floor with his head laying on someone's foot.,The name of the animal.,4
A black cat sitting on the end of a couch next to shoe covered feet.,A fat cat laying on the floor with his head laying on someone's foot.,The color of the animal.,3
"A toilet, sink, soap and a mirror with white and black tiles on the floor",A toilet and a bidet are in a beige tiled bathroom with a shower stall.,The name of the place.,4
"A toilet, sink, soap and a mirror with white and black tiles on the floor",A toilet and a bidet are in a beige tiled bathroom with a shower stall.,The action of the place.,4
"A blue bottle, white bird, metal tin, and a photo of a flower arranged on a shelf.","a table with three different vases on it, one with red and white flowers ",The type of object.,4
"A blue bottle, white bird, metal tin, and a photo of a flower arranged on a shelf.","a table with three different vases on it, one with red and white flowers ",The number of flower.,3
An elephant with tusks standing in the water while another stands by a palm tree.,Two elephants are in front of a muddy waterway trampling in the wet dirt.,The type of the animal.,5
An elephant with tusks standing in the water while another stands by a palm tree.,Two elephants are in front of a muddy waterway trampling in the wet dirt.,The speed of the animals.,2
"Room with clothes on a rack, bed not put together, and paper all over",A messy bedroom with two mattresses on box springs lying on a wood floor.,The room.,4
"Room with clothes on a rack, bed not put together, and paper all over",A messy bedroom with two mattresses on box springs lying on a wood floor.,The number of object.,4
A man who is looking at a plate of food that has a sandwich and fries on it.,a man drinking a drink with a few hot dogs out front of him,The man with food.,4
A man who is looking at a plate of food that has a sandwich and fries on it.,a man drinking a drink with a few hot dogs out front of him,The type of food.,2
"Chocolate, sugar, eggs, and other ingredients of a dessert are gathered on a table.","a display of fruit such as grapes, sliced kiwi, a mango and a sliced lime in a watermelon rind ",The number of food.,3
"Chocolate, sugar, eggs, and other ingredients of a dessert are gathered on a table.","a display of fruit such as grapes, sliced kiwi, a mango and a sliced lime in a watermelon rind ",The food.,2
A man is holding a tennis racquet in one hand and a ball in the other.,A tennis player prepares to return the volley with a wide and ready stance.,The name of the sport.,5
A man is holding a tennis racquet in one hand and a ball in the other.,A tennis player prepares to return the volley with a wide and ready stance.,The action of man.,3
A grilled sandwich on ciabatta is awaiting the lettuce and seated beside the fries.,"A sandwich sitting on a plate with a salad of lettuce, tomato and cucumber.",The name of the dish.,4
A grilled sandwich on ciabatta is awaiting the lettuce and seated beside the fries.,"A sandwich sitting on a plate with a salad of lettuce, tomato and cucumber.",The name of the place.,4
"A plate of meat with tomatoes, a handful of grapes, and a bowl of cucumbers.",A white and blue plate sitting on top of a table next to a knife and fork.,The food.,5
"A plate of meat with tomatoes, a handful of grapes, and a bowl of cucumbers.",A white and blue plate sitting on top of a table next to a knife and fork.,The color of object.,2
a view of a batter swinging and the catcher ready to catch the ball in the event of a strike,base ball player on a baseball field in front of a crowd of people.,The name of the game.,5
a view of a batter swinging and the catcher ready to catch the ball in the event of a strike,base ball player on a baseball field in front of a crowd of people.,The activity of the player.,4
A white bed sitting under a window with cotton ball clouds suspended over it.,A small room with a wood floor and a bed in the corner under a window.,The bed.,5
A white bed sitting under a window with cotton ball clouds suspended over it.,A small room with a wood floor and a bed in the corner under a window.,The different place.,2
An egg inside a bread end shares a saucer with a fork and three cherry tomatoes.,A white plate topped with toast and fruit  with an egg and carrots next to strawberries.,The presence of egg.,5
An egg inside a bread end shares a saucer with a fork and three cherry tomatoes.,A white plate topped with toast and fruit  with an egg and carrots next to strawberries.,The absence of tomatoes.,1
A man working on at a laptop while a woman and children watch a cartoon on another one.,A man sits on a leather couch in a living room while holding a computer in his lap.,The number of people.,3
A man working on at a laptop while a woman and children watch a cartoon on another one.,A man sits on a leather couch in a living room while holding a computer in his lap.,The man's attention.,3
Two cups of drinks sit on a table next to two plates of food.,A floral plate has a sandwich on it on a table with a teapot and cup.,The furniture the food is on.,5
Two cups of drinks sit on a table next to two plates of food.,A floral plate has a sandwich on it on a table with a teapot and cup.,The amount of cups.,5
A tray holds a hotdog and french fries and there is a cup in the background.,A close up of a person holding a hot dog in front of the camera.,The name of the animal.,3
A tray holds a hotdog and french fries and there is a cup in the background.,A close up of a person holding a hot dog in front of the camera.,The type of the side.,1
Four men are standing next to an old airplane while one person sits in the cockpit.,"Men stand around the vehicle, parked under the wing of the large, propeller airplane.",The number of people.,3
Four men are standing next to an old airplane while one person sits in the cockpit.,"Men stand around the vehicle, parked under the wing of the large, propeller airplane.",The airplane.,3
A group of people watching a man on his skateboard at a skate boarding event.,"A skateboard park with a couple guys wearing helmets and pads, riding their boards.",The speed of the skateboarders.,3
A group of people watching a man on his skateboard at a skate boarding event.,"A skateboard park with a couple guys wearing helmets and pads, riding their boards.",The sport being played.,2
A man in a red jacket is on a snowboard on a series of small hills that are covered with snow.,A man catches some air and kicks up snow while snowboarding down a snowy slope.,The name of the game.,5
A man in a red jacket is on a snowboard on a series of small hills that are covered with snow.,A man catches some air and kicks up snow while snowboarding down a snowy slope.,The color of the jacket.,4
This is a photo of a large kitchen and the door leading in is open.,a kitchen with a table by a window and a desk by a fridge,The size of the room.,5
This is a photo of a large kitchen and the door leading in is open.,a kitchen with a table by a window and a desk by a fridge,The type of room.,5
A herd of elephants in body of water next to man in yellow shirt.,A couple of young elephants tousle with each other playfully in the muddy waters.,The type of animal.,5
A herd of elephants in body of water next to man in yellow shirt.,A couple of young elephants tousle with each other playfully in the muddy waters.,The number of animals.,1
The street sign has on outline of a man with a question mark on it.,a traffic sign two people walking and a van in front of a large building,The type of location.,5
The street sign has on outline of a man with a question mark on it.,a traffic sign two people walking and a van in front of a large building,The number of people.,1
The table has most of the items needed to keep in the repair shoulder bag.,A purse next to a neatly arranged assortment of things that could have come out of it.,The object is bag.,3
The table has most of the items needed to keep in the repair shoulder bag.,A purse next to a neatly arranged assortment of things that could have come out of it.,The activity of people.,2
A tennis player team of two ladies on a court in front of spectators.,a crowd of people watching a young woman jump up to hit a tennis ball,The game played.,3
A tennis player team of two ladies on a court in front of spectators.,a crowd of people watching a young woman jump up to hit a tennis ball,The number of players.,1
A computer station the size of a school desk is not big enough for two computers.,"A desk with a lamp, remote control, laptop, keyboard, monitor and a mouse on it. ",The size of object.,2
A computer station the size of a school desk is not big enough for two computers.,"A desk with a lamp, remote control, laptop, keyboard, monitor and a mouse on it. ",The number of object.,1
Four airplanes flying in formation with white smoke coming out of the back of them.,a red airplane flying in the sky leaving a trail of bright blue smoke behind it.,The type of the vehicle.,4
Four airplanes flying in formation with white smoke coming out of the back of them.,a red airplane flying in the sky leaving a trail of bright blue smoke behind it.,The color of the vehicle.,2
A large corn beef sandwich cut in half and on a plate next to a large pickle.,"Lunch, art deco decorated diner china with rye bred sandwich and pickle spears with cup of cooffee.",The shape of the pickles.,5
A large corn beef sandwich cut in half and on a plate next to a large pickle.,"Lunch, art deco decorated diner china with rye bred sandwich and pickle spears with cup of cooffee.",The type of vegetable.,1
A sandwich and mac and cheese placed on a plate on a dinner table.,Two sandwiches with vegetables on a table accompanied by a drink and two bananas.,The name of food.,5
A sandwich and mac and cheese placed on a plate on a dinner table.,Two sandwiches with vegetables on a table accompanied by a drink and two bananas.,The number of sandwiches.,1
Someone walking around in a lot of snow and a lot of trees are around,A person on skis going up a hill that has a tree with a sign.,The number of person.,5
Someone walking around in a lot of snow and a lot of trees are around,A person on skis going up a hill that has a tree with a sign.,The activity of the person.,1
"A bowl of carrots, a bowl of mixed vegetables and a bowl of rice beside an apple and orange.","A table with a stainless steel type bowl of salad, and a cooking pan with asparagus in it.",The object the food is in.,5
"A bowl of carrots, a bowl of mixed vegetables and a bowl of rice beside an apple and orange.","A table with a stainless steel type bowl of salad, and a cooking pan with asparagus in it.",The object next to the bowl.,1
A white blender next to the sink and a large pot with some red chunky stuff in it.,"A kitchen stove with a pan on it, and a counter full of kitchenware.",The room type.,3
A white blender next to the sink and a large pot with some red chunky stuff in it.,"A kitchen stove with a pan on it, and a counter full of kitchenware.",The amount of clutter.,2
"A bathroom sink, with a bottle of liquid by it and a mirror above it.",A person taking a picture of a bathroom with a toilet and a bowl sink.,The room type.,4
"A bathroom sink, with a bottle of liquid by it and a mirror above it.",A person taking a picture of a bathroom with a toilet and a bowl sink.,The number of people.,2
A couple of carrots sitting on a cutting board next to an apple and other vegetables.,A pile of chopped vegetables and a knife on a dark brown wooden surface.,The name of the object.,5
A couple of carrots sitting on a cutting board next to an apple and other vegetables.,A pile of chopped vegetables and a knife on a dark brown wooden surface.,The name of the things.,4
A small dog in a bathroom standing on a rug next to the shower.,A photo taken from the bathroom door of a cat sitting on the toilet.,The name of animal.,4
A small dog in a bathroom standing on a rug next to the shower.,A photo taken from the bathroom door of a cat sitting on the toilet.,The animal in the bathroom.,4
"A chocolate chip cookie on a plate, and a coffee mug on a saucer.",A person sitting in front of a table with coffee and a bagel sandwich,The type of beverage.,5
"A chocolate chip cookie on a plate, and a coffee mug on a saucer.",A person sitting in front of a table with coffee and a bagel sandwich,The amount of sugar in the food.,2
A man in a wet suit surfing on a blue board with other surfers watching on shore.,A person in a full body wetsuit standing on a surfboard and surfing on a wave.,The type of the hobby.,5
A man in a wet suit surfing on a blue board with other surfers watching on shore.,A person in a full body wetsuit standing on a surfboard and surfing on a wave.,The number of people.,4
A computer desk with a computer on it and a chair in front of it.,"This room consists of a flat screen television, a desk with a computer, and small end tables. ",The amount of pieces of technology.,4
A computer desk with a computer on it and a chair in front of it.,"This room consists of a flat screen television, a desk with a computer, and small end tables. ",The type of table.,3
A cow sticking its head into the door of a vehicle and licking the interior ceiling of the vehicle.,There is a dog that is sitting in the front seat of a truck,The animal's location.,4
A cow sticking its head into the door of a vehicle and licking the interior ceiling of the vehicle.,There is a dog that is sitting in the front seat of a truck,The type of animal.,1
An intersection with heavy traffic in both directions and the traffic signal showing a red light.,A bus is moving through a green light in the middle of a city.,The traffic signal light.,4
An intersection with heavy traffic in both directions and the traffic signal showing a red light.,A bus is moving through a green light in the middle of a city.,The name of vehicle.,3
There is a hot dog on a toasted bun with relish and mustard and soup.,a close up of a plate of food with a sandwich and a pickle,The name of the place.,5
There is a hot dog on a toasted bun with relish and mustard and soup.,a close up of a plate of food with a sandwich and a pickle,The name of the dish.,2
A man laying down with his cat and beside him is a teddy bear,a big fluffy cat sitting on a black stool and a girl bent over showing her behind,The cat.,5
A man laying down with his cat and beside him is a teddy bear,a big fluffy cat sitting on a black stool and a girl bent over showing her behind,The activity.,3
A low to the ground stop sign on the corner of a suburban street,A no parking and No Left Turn sign sits on the side walk of the neighborhood.,The type of signal.,3
A low to the ground stop sign on the corner of a suburban street,A no parking and No Left Turn sign sits on the side walk of the neighborhood.,The type of position.,2
A woman sitting in a market with bunches of bananas still on the limb.,A man standing next to a woman in front of a store with lots of bananas.,The sex of the person.,4
A woman sitting in a market with bunches of bananas still on the limb.,A man standing next to a woman in front of a store with lots of bananas.,The type of fruit.,4
Hot dogs are used in main dish as garnishment yet served on a silver platter.,A lunch serving of steak salad with a side of fries and an ale,The name of the object.,5
Hot dogs are used in main dish as garnishment yet served on a silver platter.,A lunch serving of steak salad with a side of fries and an ale,The name of the action.,4
A brown dog lays on a big dog bed that has a print of paws on it.,A white and black dog standing on the back of sofa looking out of a window.,The animal.,2
A brown dog lays on a big dog bed that has a print of paws on it.,A white and black dog standing on the back of sofa looking out of a window.,The color of animal.,1
A bunch of cows in a wide open field with trees in the distance.,6 horses walking on a grassy field while 2 others are feeding in the background.,The setting.,4
A bunch of cows in a wide open field with trees in the distance.,6 horses walking on a grassy field while 2 others are feeding in the background.,The type of animals.,1
Little white fluffy dog sits on someone's lap with a laptop in the background.,A golden dog lays on the floor next to a dog comb and a pile of hair.,The dog.,3
Little white fluffy dog sits on someone's lap with a laptop in the background.,A golden dog lays on the floor next to a dog comb and a pile of hair.,The activity.,2
Many cows are standing in a field as one stands under a shade tree.,Cattle in a fenced area resting and eating next to a lush green field.,The activity of the animal.,5
Many cows are standing in a field as one stands under a shade tree.,Cattle in a fenced area resting and eating next to a lush green field.,The name of the animal.,2
Three cupcakes with blue icing are on the table and the middle one is split in half at the top.,layered chocolate cake with vanilla icing drizzled in chocolate on a white plate with a fork,The cake with icing.,2
Three cupcakes with blue icing are on the table and the middle one is split in half at the top.,layered chocolate cake with vanilla icing drizzled in chocolate on a white plate with a fork,The number of cakes.,1
There is a red fire engine in front of a small weed and metal fence.,A fire hydrant that appears to have eyes on it is next to a garbage can.,The name of the object.,2
There is a red fire engine in front of a small weed and metal fence.,A fire hydrant that appears to have eyes on it is next to a garbage can.,The place of the object.,1
A red plate topped with a cut in half pizza with an egg on it.,A piece of pizza with broccoli on it is sitting on a paper plate.,The dish.,5
A red plate topped with a cut in half pizza with an egg on it.,A piece of pizza with broccoli on it is sitting on a paper plate.,The color of object.,4
"Two people, one wearing a green helmet and knee pads skateboarding down a street.",Person in full safety gear on a skateboard near the top of the ramp.,The sport.,5
"Two people, one wearing a green helmet and knee pads skateboarding down a street.",Person in full safety gear on a skateboard near the top of the ramp.,The color of object.,4
A black dog is standing on his hind legs with his front paws on feeding bowls.,A black cat eats from a white bowl on the tiled kitchen floor in front of the stainless steel oven.,The name of the activity.,4
A black dog is standing on his hind legs with his front paws on feeding bowls.,A black cat eats from a white bowl on the tiled kitchen floor in front of the stainless steel oven.,The name of the animal.,2
A shot out a car window of a large number of sheep walking down a road,A herd of sheep standing next to each other on a grass covered field.,The type of animal.,5
A shot out a car window of a large number of sheep walking down a road,A herd of sheep standing next to each other on a grass covered field.,The speed of the animals.,3
"This sandwich has sliced meat, tomatoes, and alfalfa sprouts in between two slices of a bun.",A sandwich on a plate sitting on a tv tray next to a cup.,The number of food.,3
"This sandwich has sliced meat, tomatoes, and alfalfa sprouts in between two slices of a bun.",A sandwich on a plate sitting on a tv tray next to a cup.,The food.,2
A skier at a ski resort is overlooking another skier who has fallen on the slopes.,A young boy in a red jacket on skis with other people in the background.,The body position.,4
A skier at a ski resort is overlooking another skier who has fallen on the slopes.,A young boy in a red jacket on skis with other people in the background.,The sport.,2
A shop vac is sitting in a tub where a wall has been cut out.,A kitchen with counters and appliances wrapped in plastic and blue painters tape holding it in place.,The room type.,2
A shop vac is sitting in a tub where a wall has been cut out.,A kitchen with counters and appliances wrapped in plastic and blue painters tape holding it in place.,The room state.,2
A man sitting with a laptop computer in his lap and feet on his desk.,A person has their feet up on a desk near a piece of pizza.,The number of people.,2
A man sitting with a laptop computer in his lap and feet on his desk.,A person has their feet up on a desk near a piece of pizza.,The food.,1
One person is holding their skateboard as they are walking and another person in a white shirt is riding his skateboard.,A skateboarder on a concrete ramp doing a trick where he is in the air with the board.,What trick is being done.,5
One person is holding their skateboard as they are walking and another person in a white shirt is riding his skateboard.,A skateboarder on a concrete ramp doing a trick where he is in the air with the board.,What kind of toy.,3
a kitchen view of open cabinets and a counter sitting on a wooden floor,A modern and neat kitchen with a full size refrigerator and a dining table.,The room type.,5
a kitchen view of open cabinets and a counter sitting on a wooden floor,A modern and neat kitchen with a full size refrigerator and a dining table.,The state of the room.,4
A young boy riding a skate board on the top edge of a skate park.,A skateboarder is at the top of a cement bowl with arms in the air.,The number of people.,4
A young boy riding a skate board on the top edge of a skate park.,A skateboarder is at the top of a cement bowl with arms in the air.,The sport.,3
A person spreading pizza sauce over a crust on a pizza board that is sitting on a stove top.,"A counter top shows a pepperoni pizza pie, cooling on a rack, on a cutting board, beside the box it came from. ",The food type.,5
A person spreading pizza sauce over a crust on a pizza board that is sitting on a stove top.,"A counter top shows a pepperoni pizza pie, cooling on a rack, on a cutting board, beside the box it came from. ",The preparation stage.,4
A row of multi colored teddy bears hanging from a rope under a tent.,"A table holds onto some assorted teddy bears, one white and the others brown. ",The color of bears.,3
A row of multi colored teddy bears hanging from a rope under a tent.,"A table holds onto some assorted teddy bears, one white and the others brown. ",The teddy bears in the place.,2
A close up of a traffic light indicates a green light and a protected left turn.,There is a sign in a foreign language and a street light in this picture.,The brightness.,4
A close up of a traffic light indicates a green light and a protected left turn.,There is a sign in a foreign language and a street light in this picture.,The type of illumination.,1
A person on their bike going through a green light with a bus nearby,A bicyclist waits for the all go on a busy street in the city.,The name of the vehicle.,5
A person on their bike going through a green light with a bus nearby,A bicyclist waits for the all go on a busy street in the city.,The name of the place.,3
A panorama style picture of a bathroom with a pair of shoes on the ground.,"A bathroom with two urinals on the wall next to one another, a sink and a mirror.",The shoes on ground.,5
A panorama style picture of a bathroom with a pair of shoes on the ground.,"A bathroom with two urinals on the wall next to one another, a sink and a mirror.",The place bathroom.,3
A piece of cake and coffee is featured next to a close up fork.,A cookie and chocolate ice cream sandwich on a plate with strawberries and whipped cream.,The place of the food.,4
A piece of cake and coffee is featured next to a close up fork.,A cookie and chocolate ice cream sandwich on a plate with strawberries and whipped cream.,The food.,1
a couple of baseball players talk as another one runs in the back ground,An umpire stands behind a catcher and a baseball player in a white and red uniform holds a bat.,The color of object.,4
a couple of baseball players talk as another one runs in the back ground,An umpire stands behind a catcher and a baseball player in a white and red uniform holds a bat.,The sport.,2
A pitcher has pitched a ball to a batter who is ready to swing while the crowd watches from the stands.,"At home plate in a professional baseball game, the umpire, catcher, and batter are all focused on the incoming pitch.",The name of the product.,4
A pitcher has pitched a ball to a batter who is ready to swing while the crowd watches from the stands.,"At home plate in a professional baseball game, the umpire, catcher, and batter are all focused on the incoming pitch.",The name of the game.,3
A boy is holding a ball and a bat outside in the grass near other people and a fence.,A young man catching a yellow frisbee on a green lush grass covered field.,The number of people.,5
A boy is holding a ball and a bat outside in the grass near other people and a fence.,A young man catching a yellow frisbee on a green lush grass covered field.,The place of garden.,3
A sandwich with melted cheese pouring over the side is paired with chips and soda for a work lunch.,a close up of a plate of food with a sandwich and french fries,The plate with food.,3
A sandwich with melted cheese pouring over the side is paired with chips and soda for a work lunch.,a close up of a plate of food with a sandwich and french fries,The type of food.,3
A bowl is filled with crumbs and is on a plate with carrots and other vegetables.,A close up image of a plate with vegetables and fried food arranged on it.,The vegetables.,4
A bowl is filled with crumbs and is on a plate with carrots and other vegetables.,A close up image of a plate with vegetables and fried food arranged on it.,The color of vegetable.,3
A card table desk with a laptop and metal chair sitting in front of a window.,"Little girl sits in a folding chair, with a bag of m&m's, while looking at something on the laptop",The type of computer.,5
A card table desk with a laptop and metal chair sitting in front of a window.,"Little girl sits in a folding chair, with a bag of m&m's, while looking at something on the laptop",The number of people.,2
A small green square plate with fruit and some small bowls with vegetables on a table.,Two white plates topped with a cut in half sandwich next toa  plate with a bowl of soup and salsa.,The color.,5
A small green square plate with fruit and some small bowls with vegetables on a table.,Two white plates topped with a cut in half sandwich next toa  plate with a bowl of soup and salsa.,The dishware.,2
The large living room has many pieces of furniture and lit candles in it.,a red leather sofa and chair in front of a fireplace and a big screen tv,The object.,4
The large living room has many pieces of furniture and lit candles in it.,a red leather sofa and chair in front of a fireplace and a big screen tv,The color of object.,3
A large training coming down the track with lots of snow on the ground,Black and white photo of a steam engine riding on the train tracks by a pond.,The color of albam.,4
A large training coming down the track with lots of snow on the ground,Black and white photo of a steam engine riding on the train tracks by a pond.,The type of vehicle.,1
A desk and chair  with a monitor and laptop sitting next to a window.,A bright light in a living room next to a table and a folded up stepstool.,The room.,4
A desk and chair  with a monitor and laptop sitting next to a window.,A bright light in a living room next to a table and a folded up stepstool.,The desk.,2
A large dog is jumping up on a person on a couch in a roomful of people.,some dogs laying around a man sitting on a bench in the living room,The species of animal.,5
A large dog is jumping up on a person on a couch in a roomful of people.,some dogs laying around a man sitting on a bench in the living room,The movement level of animals.,2
Lots of kites flying over a beach with sailboards lined up by a wall.,Many different kites fly in the sky over a series of large buildings and a grassy field.,The name of the object.,5
Lots of kites flying over a beach with sailboards lined up by a wall.,Many different kites fly in the sky over a series of large buildings and a grassy field.,The activity of the object.,5
A large sectional sofa is sitting to the far left of a television screen.,A chair with a pillow on it sitting in ront of a coffee table.,The type of furnishings.,5
A large sectional sofa is sitting to the far left of a television screen.,A chair with a pillow on it sitting in ront of a coffee table.,The number of objects.,4
A person sitting on a couch working on a laptop on top of a dog.,A dog laying on the floor next to a sofa that a man is laying on.,The seating.,4
A person sitting on a couch working on a laptop on top of a dog.,A dog laying on the floor next to a sofa that a man is laying on.,The person's posture.,1
"There are various food items including pickles, tomatoes, carrots, broccoli; as well as a sippy cup, spoon, fork, and whale napkin.",A glass of juice sits between two plates of food near pizza hut napkins on a dark yellow tablecloth.,The number of beverages.,2
"There are various food items including pickles, tomatoes, carrots, broccoli; as well as a sippy cup, spoon, fork, and whale napkin.",A glass of juice sits between two plates of food near pizza hut napkins on a dark yellow tablecloth.,The type of food.,1
A fork sticking through a chunk of cake on top of a green plate.,An orange cake with whipped cream frosting sits on a plate beside a book on the table.,The food.,4
A fork sticking through a chunk of cake on top of a green plate.,An orange cake with whipped cream frosting sits on a plate beside a book on the table.,The color of plate.,2
A line of bicycles beside a street where a bus is stopping for passengers.,A group of cyclists are riding next to a train and a city bus.,The sport.,5
A line of bicycles beside a street where a bus is stopping for passengers.,A group of cyclists are riding next to a train and a city bus.,The number of people.,4
Red wine pours in a glass; another glass is beside it and cheese straws in the back.,Three different types of wine in three wine glasses on a white piece of paper on a bar.,The wine in glass.,4
Red wine pours in a glass; another glass is beside it and cheese straws in the back.,Three different types of wine in three wine glasses on a white piece of paper on a bar.,Types of wine.,2
an image of a place setting at a restaurant that has food on it,A stack of pancakes with syrup and butter on a plate next to orange juice.,The activity.,4
an image of a place setting at a restaurant that has food on it,A stack of pancakes with syrup and butter on a plate next to orange juice.,The place.,2
A skier carries his poles and skis to the top of a snowy slope.,A man standing on the side of a snow covered slope while attached to skis.,The color of the ground.,3
A skier carries his poles and skis to the top of a snowy slope.,A man standing on the side of a snow covered slope while attached to skis.,The motion of the person.,2
A pile of chopped vegetables and a knife on a dark brown wooden surface.,Carrots and ham on a table with the ham setting on a cutting board .,The palce of object.,5
A pile of chopped vegetables and a knife on a dark brown wooden surface.,Carrots and ham on a table with the ham setting on a cutting board .,The name of object.,3
"A person riding a bicycle on a sidewalk, in the rain, carrying an umbrella.",A man walks past stores in the rain with an umbrella and shopping bag.,The number of people.,5
"A person riding a bicycle on a sidewalk, in the rain, carrying an umbrella.",A man walks past stores in the rain with an umbrella and shopping bag.,The activity of people.,4
A triple layer cake with a white hand made out of frosting on top of it.,Large multi-layered white frosted cake being cut with green plastic knife on striped table cloth.,The state of the food.,4
A triple layer cake with a white hand made out of frosting on top of it.,Large multi-layered white frosted cake being cut with green plastic knife on striped table cloth.,The type of food.,2
A pizza pan with a slice being taken away from it as cheese gets gooey.,"The pizza is cut into slices and has tomatoes, bell peppers, artichokes, mushrooms, and shrimp.",The amount of slices of pizza.,3
A pizza pan with a slice being taken away from it as cheese gets gooey.,"The pizza is cut into slices and has tomatoes, bell peppers, artichokes, mushrooms, and shrimp.",The type of meal.,3
A small container with various vegetables in it and another container next ot it that has rice and seaweed.,one bowl has broccoli and the other has banana peppers and sardines and potatoes,The purpose of the objects.,3
A small container with various vegetables in it and another container next ot it that has rice and seaweed.,one bowl has broccoli and the other has banana peppers and sardines and potatoes,The variety of food.,2
Traffic lights are seen in front of a shopping center on a stormy day.,Directional lights and an exit sign along an empty street intersection by the highway.,The objects used to direct vehicles.,2
Traffic lights are seen in front of a shopping center on a stormy day.,Directional lights and an exit sign along an empty street intersection by the highway.,The location of the lights.,1
"A timer clock on a paint peeling wall above tiled area, beside a window with bars.",A clock sitting on the side of a building. The clock looks like a watch.,The location of the device.,3
"A timer clock on a paint peeling wall above tiled area, beside a window with bars.",A clock sitting on the side of a building. The clock looks like a watch.,The type of device.,1
A police officer riding a motorcycle in the middle of a street next to a cone.,Police officers on their bikes lined up behind one another on the side of the road.,The activity of people.,5
A police officer riding a motorcycle in the middle of a street next to a cone.,Police officers on their bikes lined up behind one another on the side of the road.,The number of people.,4
There is a close of pic of one of many clocks on a building,Large clock on a building with a statue of a skeleton and a man working working.,The type of item in view.,3
There is a close of pic of one of many clocks on a building,Large clock on a building with a statue of a skeleton and a man working working.,The amount of the clocks.,1
A dessert and a cup of coffee sit next to a book and a purse.,"Tea time with a cup of hot tea, a tea pitcher and a plate with four small sandwiches. ",The number of cups.,4
A dessert and a cup of coffee sit next to a book and a purse.,"Tea time with a cup of hot tea, a tea pitcher and a plate with four small sandwiches. ",The types of meal.,2
a metal plate with a sandwich on it and a metal bowl filled with soup.,a bowl sitting on the table with some sort of dish inside sitting next to a glass jar,The concave object.,5
a metal plate with a sandwich on it and a metal bowl filled with soup.,a bowl sitting on the table with some sort of dish inside sitting next to a glass jar,The number of food servings.,3
"Sheep in a field along with a man, a cow and a farm building",a number of animals on the side of a mountain with a sky background,The animals are roaming.,5
"Sheep in a field along with a man, a cow and a farm building",a number of animals on the side of a mountain with a sky background,The type of animals.,2
"The young base runner takes a lead, with one foot slightly touching the base.",people at a baseball game watching a young boy with a baseball in his hand,The name of sport.,3
"The young base runner takes a lead, with one foot slightly touching the base.",people at a baseball game watching a young boy with a baseball in his hand,The action of people.,2
"A bedroom with large windows with curtains,a large bed and a television in a corner.",A living area has black seating arrangements and a small entertainment center with sliding glass doors.,The presence of glass.,4
"A bedroom with large windows with curtains,a large bed and a television in a corner.",A living area has black seating arrangements and a small entertainment center with sliding glass doors.,The type of room.,2
A person's hand strokes the nose of a small black pony on the other side of a rock wall and fence.,A horse is standing on one side of a fence with sheep on the other.,The type of holding.,3
A person's hand strokes the nose of a small black pony on the other side of a rock wall and fence.,A horse is standing on one side of a fence with sheep on the other.,The name of the animal.,2
A keyboard and mouse that appears to be hooked up to an external usb device.,Two keyboards on a table connected to a computer and a flat screen monitor.,The name of object.,5
A keyboard and mouse that appears to be hooked up to an external usb device.,Two keyboards on a table connected to a computer and a flat screen monitor.,The number of keyboard.,3
A group of people walking outside of a building with a clock tower in the background.,A view of a clock that appears to be in front of an apartment building.,The type of device.,5
A group of people walking outside of a building with a clock tower in the background.,A view of a clock that appears to be in front of an apartment building.,The type of position.,5
a black and white cat and a black brown and white one sitting on a suitcase,A couple of black cats laying on top of a bed covered in blankets.,The number of cats.,5
a black and white cat and a black brown and white one sitting on a suitcase,A couple of black cats laying on top of a bed covered in blankets.,The color of the cats.,2
An open laptop sits next to a cell phone and a glass of wine.,A spiral bound book is opened on a desk in front of an apple computer.,The action of the object.,2
An open laptop sits next to a cell phone and a glass of wine.,A spiral bound book is opened on a desk in front of an apple computer.,The name of the object.,1
"A bright green kitchen with white cabinets, a white refrigerator, and a black stove.",There is a small kitchen with wooden cabinets and pet bowls on the floor.,The kitchen room cabinets.,5
"A bright green kitchen with white cabinets, a white refrigerator, and a black stove.",There is a small kitchen with wooden cabinets and pet bowls on the floor.,The type of objects.,2
A desert cake with strawberries and whipped cream sits on a table near a croissant.,"An image of some sort of toast with cream filing, powder sugar, walnuts, and strawberries. ",The food items.,4
A desert cake with strawberries and whipped cream sits on a table near a croissant.,"An image of some sort of toast with cream filing, powder sugar, walnuts, and strawberries. ",The type of food ingredients.,2
"A railroad crossway signal initiates, blocking off traffic, allowing a train to passing through.",Two white and green trains are stopped beside a red/brown caboose at a train station.,Type of vehicle.,5
"A railroad crossway signal initiates, blocking off traffic, allowing a train to passing through.",Two white and green trains are stopped beside a red/brown caboose at a train station.,Location.,3
